id,rating,votes
700,4.7,18
701,4.9,158
702,5.2,191
703,5.4,18
704,6.1,18
705,5.0,82
706,8.3,40
707,6.9,17
708,5.3,232
709,5.8,62
710,4.7,18
711,3.5,18
712,5.9,20
713,5.7,18
714,4.8,40
715,5.7,68
716,5.2,60
717,6.4,1071
718,5.9,187
719,6.1,115
720,4.3,19
721,3.9,51
722,4.8,18
723,3.9,20
724,4.2,19
725,5.9,17
726,5.4,221
727,5.5,260
728,4.4,58
729,4.9,20
730,4.9,70
731,4.6,61
732,5.4,43
733,4.9,57
734,4.9,54
735,5.8,11
736,5.1,135
737,4.0,61
738,5.5,86
739,4.2,58
740,4.6,57
741,5.2,31
742,4.7,59
743,4.4,41
744,5.3,44
745,4.8,41
746,6.2,22
747,3.4,21
748,7.1,21
749,5.2,72
750,4.9,42
751,6.6,14
752,4.9,20
753,4.1,12
754,4.9,48
755,5.1,41
756,6.3,46
757,5.4,153
758,5.5,50
759,6.6,9
760,5.1,41
761,5.6,121
762,5.2,141
763,6.4,4929
764,5.8,289
765,5.1,32
766,7.6,22
767,5.7,45
768,5.3,66
769,5.4,44
770,4.7,83
771,3.8,22
772,4.2,18
773,5.1,18
774,5.5,85
775,5.6,24
776,5.2,25
777,5.8,614
778,5.7,177
779,5.2,23
780,4.6,23
781,5.1,34
782,7.0,84
783,6.3,587
784,4.3,26
785,5.2,39
786,6.6,37
787,6.1,28
788,4.8,55
789,5.5,63
790,5.2,72
791,7.2,16
792,3.8,16
793,6.0,18
794,4.8,12
795,5.5,17
796,5.6,34
797,5.5,19
798,5.8,169
799,5.7,26
800,5.8,15
801,5.3,66
802,5.6,69
803,5.5,47
804,5.6,41
805,5.8,67
806,6.5,21
807,6.3,20
808,5.7,66
809,4.7,17
810,5.2,111
811,4.0,12
812,6.0,76
813,5.0,14
814,4.0,29
815,5.0,24
816,5.8,457
817,5.0,31
818,5.9,238
819,3.6,11
820,5.6,45
821,5.2,15
822,5.4,89
823,4.3,20
824,5.5,35
825,5.7,101
826,3.7,20
827,6.0,16
828,6.7,19
829,6.1,37
830,6.4,25
831,4.8,24
832,5.4,85
833,5.0,14
834,4.6,15
835,4.2,15
836,5.4,13
837,5.3,65
838,6.3,932
839,5.9,47
840,5.8,292
841,3.7,25
842,6.3,18
843,3.2,33
844,5.8,19
845,5.4,250
846,5.8,46
847,8.5,20
848,5.8,254
849,5.4,66
850,3.6,19
851,6.0,43
852,5.7,1724
853,5.9,165
854,3.4,10
855,7.4,23
856,5.6,49
857,4.9,76
858,6.1,9
859,6.3,591
860,5.1,28
861,4.2,73
862,7.7,12
863,8.1,17
864,5.6,389
865,5.0,8
866,4.8,51
867,5.5,72
868,5.5,44
869,5.7,28
870,5.1,43
871,5.2,12
872,7.7,3354
873,4.7,24
874,5.4,19
875,4.6,15
876,5.1,17
877,4.0,35
878,6.0,889
879,6.1,161
880,5.4,58
881,5.2,100
882,5.1,40
883,4.8,123
884,4.4,27
885,5.8,54
886,4.1,31
887,4.4,29
888,5.0,32
889,4.9,34
890,5.3,18
891,5.0,29
892,4.4,20
893,4.0,29
894,5.4,227
895,5.5,11
896,5.9,29
897,6.2,423
898,6.3,383
899,5.6,54
900,5.3,87
901,5.3,175
902,6.5,43
903,5.2,43
904,6.0,26
905,5.0,50
906,6.1,47
907,6.4,47
908,6.8,11
909,5.0,44
910,4.2,8
911,5.3,47
912,4.0,19
913,5.9,18
914,6.9,20
915,5.6,232
916,4.2,37
917,5.1,42
918,5.0,672
919,4.7,327
920,5.6,21
921,7.1,25
922,4.8,67
923,5.0,14
924,4.6,91
925,5.0,19
926,5.3,49
927,4.6,8
928,3.9,10
929,3.4,25
930,4.2,12
931,5.7,309
932,6.4,18
933,6.0,32
934,5.3,25
935,7.1,1912
936,6.4,64
937,6.5,1389
938,4.6,25
939,6.1,15
940,5.4,30
941,5.4,19
942,5.4,6
943,4.6,85
944,5.3,94
945,5.5,178
946,6.0,24
947,6.4,261
948,5.8,23
949,7.2,18
950,8.1,16
951,6.2,316
952,6.0,57
953,5.3,12
954,4.8,17
955,2.8,14
956,5.5,15
957,5.0,11
958,6.6,32
959,5.1,94
960,5.2,12
961,5.9,69
962,4.8,46
963,5.1,11
964,4.5,46
965,4.1,12
966,4.7,58
967,5.6,237
968,5.3,53
969,5.6,97
970,5.6,12
971,4.8,65
972,7.5,58
973,7.9,14
974,5.3,80
975,5.2,13
976,3.7,16
977,6.4,11
978,5.8,278
979,5.1,89
980,5.6,12
981,5.3,80
982,3.6,25
983,5.4,255
984,5.4,157
985,5.8,20
986,7.1,39
987,5.4,12
988,5.0,57
989,4.6,15
990,5.7,15
991,4.5,58
992,5.1,101
993,5.5,31
994,6.1,18
995,5.0,65
996,5.6,180
997,5.9,110
998,6.2,14
999,5.4,14
1000,6.0,312
1001,5.8,64
